verified,followers,gender,age,society,sports,politics,religion,entertainment,other,result
False,6747,male,35+,60.5,6.3,14.2,14.1,4.6,0.4,0
False,19,male,35+,91.2,0.7,3.7,2.9,1.1,0.4,1
False,19,male,35+,91.2,0.7,3.7,2.9,1.1,0.4,0
False,19,male,35+,91.2,0.7,3.7,2.9,1.1,0.4,0
False,1074,male,35+,49.1,10.4,16.4,14.5,8.6,1.0,1
False,1074,male,35+,49.1,10.4,16.4,14.5,8.6,1.0,0
False,1074,male,35+,49.1,10.4,16.4,14.5,8.6,1.0,0
False,46,male,25-,56.4,5.0,11.8,21.4,5.0,0.5,1
False,934,male,25-,74.4,5.5,4.4,12.4,3.1,0.3,1
False,3458,male,35+,50.0,0.0,11.1,38.9,0.0,0.0,1
False,27,male,35+,63.5,5.1,5.5,16.6,7.6,1.7,1
False,27,male,35+,63.5,5.1,5.5,16.6,7.6,1.7,0
False,1171,male,35+,51.1,12.0,18.3,6.4,9.3,2.9,1
False,1171,male,35+,51.1,12.0,18.3,6.4,9.3,2.9,0
False,1171,male,35+,51.1,12.0,18.3,6.4,9.3,2.9,0
False,1171,male,35+,51.1,12.0,18.3,6.4,9.3,2.9,0
False,1629,male,35+,48.6,6.6,15.3,22.6,5.1,1.8,1
False,1629,male,35+,48.6,6.6,15.3,22.6,5.1,1.8,0
False,1629,male,35+,48.6,6.6,15.3,22.6,5.1,1.8,0
False,1629,male,35+,48.6,6.6,15.3,22.6,5.1,1.8,0
False,264,male,35+,48.4,4.3,25.3,11.5,3.5,7.0,1
False,264,male,35+,48.4,4.3,25.3,11.5,3.5,7.0,0
False,264,male,35+,48.4,4.3,25.3,11.5,3.5,7.0,0
False,264,male,35+,48.4,4.3,25.3,11.5,3.5,7.0,0
False,87835,male,35+,44.3,5.0,5.6,6.4,38.5,0.1,0
False,87835,male,35+,44.3,5.0,5.6,6.4,38.5,0.1,0
False,87835,male,35+,44.3,5.0,5.6,6.4,38.5,0.1,0
False,23,female,35+,51.9,3.9,20.6,17.5,4.1,1.9,1
False,60,male,35+,36.7,3.8,37.5,13.4,5.0,3.6,1
False,3002,male,35+,67.1,4.3,4.2,18.2,5.6,0.6,1
False,3002,male,35+,67.1,4.3,4.2,18.2,5.6,0.6,0
False,21,male,25-35,62.1,6.3,12.1,11.7,7.1,0.7,1
False,21,male,25-35,62.1,6.3,12.1,11.7,7.1,0.7,0
False,493,male,35+,20.0,0.0,70.0,0.0,10.0,0.0,0
False,493,male,35+,20.0,0.0,70.0,0.0,10.0,0.0,0
False,3254,male,35+,36.2,17.5,23.9,9.1,11.7,1.6,1
False,3254,male,35+,36.2,17.5,23.9,9.1,11.7,1.6,0
False,3254,male,35+,36.2,17.5,23.9,9.1,11.7,1.6,0
False,3254,male,35+,36.2,17.5,23.9,9.1,11.7,1.6,0
False,60,male,35+,61.3,5.3,21.5,7.1,3.4,1.4,1
False,60,male,35+,61.3,5.3,21.5,7.1,3.4,1.4,0
False,60,male,35+,61.3,5.3,21.5,7.1,3.4,1.4,0
False,60,male,35+,61.3,5.3,21.5,7.1,3.4,1.4,0
False,38800,male,35+,42.4,2.7,38.4,9.2,2.9,4.5,1
False,38800,male,35+,42.4,2.7,38.4,9.2,2.9,4.5,0
False,38800,male,35+,42.4,2.7,38.4,9.2,2.9,4.5,0
False,38800,male,35+,42.4,2.7,38.4,9.2,2.9,4.5,0
False,10605,female,35+,39.3,3.5,9.6,39.1,7.9,0.6,0
False,10605,female,35+,39.3,3.5,9.6,39.1,7.9,0.6,0
False,10605,female,35+,39.3,3.5,9.6,39.1,7.9,0.6,0
False,685,female,35+,68.2,1.9,17.2,9.2,2.2,1.4,1
False,685,female,35+,68.2,1.9,17.2,9.2,2.2,1.4,0
False,685,female,35+,68.2,1.9,17.2,9.2,2.2,1.4,0
False,85069,female,35+,61.5,3.3,13.1,17.1,4.2,0.8,0
False,85069,female,35+,61.5,3.3,13.1,17.1,4.2,0.8,0
False,85069,female,35+,61.5,3.3,13.1,17.1,4.2,0.8,0
False,2542,male,35+,51.4,7.2,8.1,25.8,7.1,0.4,0
False,2542,male,35+,51.4,7.2,8.1,25.8,7.1,0.4,0
False,1464,male,35+,45.6,15.6,22.5,6.2,8.6,1.6,1
False,1464,male,35+,45.6,15.6,22.5,6.2,8.6,1.6,0
False,156087,male,35+,36.2,17.2,29.3,6.9,10.3,0.0,1
False,156087,male,35+,36.2,17.2,29.3,6.9,10.3,0.0,0
True,78600,male,35+,64.3,7.1,7.1,10.7,10.7,0.0,1
True,78600,male,35+,64.3,7.1,7.1,10.7,10.7,0.0,0
True,746168,male,35+,50.7,6.6,20.8,11.1,7.6,3.3,1
True,746168,male,35+,50.7,6.6,20.8,11.1,7.6,3.3,0
True,690503,female,35+,63.7,8.9,3.0,4.9,18.9,0.5,0
True,690503,female,35+,63.7,8.9,3.0,4.9,18.9,0.5,0
True,5135137,male,35+,45.5,10.2,22.8,12.8,6.0,2.8,0
True,5135137,male,35+,45.5,10.2,22.8,12.8,6.0,2.8,0
True,5135137,male,35+,45.5,10.2,22.8,12.8,6.0,2.8,0
True,5135137,male,35+,45.5,10.2,22.8,12.8,6.0,2.8,0
False,175,male,25-35,46.4,5.2,6.7,37.0,4.4,0.4,1
False,175,male,25-35,46.4,5.2,6.7,37.0,4.4,0.4,0
False,175,male,25-35,46.4,5.2,6.7,37.0,4.4,0.4,0
False,175,male,25-35,46.4,5.2,6.7,37.0,4.4,0.4,0
False,2777,male,25-,33.5,8.4,43.9,7.1,3.7,3.5,1
False,2777,male,25-,33.5,8.4,43.9,7.1,3.7,3.5,0
False,2777,male,25-,33.5,8.4,43.9,7.1,3.7,3.5,0
False,5217,female,25-,51.2,7.3,4.9,29.3,7.3,0.0,1
True,96441,female,35+,33.6,14.3,11.8,20.2,19.0,1.0,0
True,96441,female,35+,33.6,14.3,11.8,20.2,19.0,1.0,0
False,1779,male,35+,68.2,3.4,7.6,14.9,5.1,0.8,1
False,1779,male,35+,68.2,3.4,7.6,14.9,5.1,0.8,0
False,1779,male,35+,68.2,3.4,7.6,14.9,5.1,0.8,0
False,46036,female,35+,36.5,3.7,21.7,31.8,4.9,1.5,0
False,46036,female,35+,36.5,3.7,21.7,31.8,4.9,1.5,0
False,55,male,35+,44.8,4.5,17.6,24.4,6.3,2.4,1
